setmana_epidemiologica,any,casos
1,2012,28712
1,2013,37454
1,2014,57071
1,2015,59456
1,2016,56143
1,2017,74472
1,2018,91168
1,2019,66047
1,2020,54771
1,2021,43729
1,2022,198376
1,2023,66735
1,2024,87056
10,2012,39250
10,2013,43231
10,2014,45820
10,2015,67392
10,2016,83574
10,2017,52363
10,2018,62993
10,2019,53830
10,2020,67481
10,2021,38200
10,2022,69199
10,2023,77175
10,2024,67733
11,2012,35464
11,2013,38304
11,2014,45595
11,2015,60975
11,2016,78017
11,2017,52343
11,2018,59876
11,2019,52206
11,2020,73877
11,2021,41171
11,2022,68044
11,2023,65187
11,2024,67666
12,2012,32855
12,2013,37320
12,2014,44897
12,2015,55405
12,2016,53688
12,2017,53226
12,2018,55733
12,2019,53390
12,2020,60223
12,2021,43580
12,2022,62185
12,2023,57734
12,2024,63927
13,2012,30103
13,2013,29225
13,2014,44410
13,2015,50858
13,2016,44280
13,2017,52158
13,2018,43843
13,2019,54203
13,2020,54999
13,2021,35468
13,2022,59415
13,2023,53886
13,2024,49124
14,2012,23979
14,2013,28275
14,2014,43301
14,2015,40086
14,2016,43143
14,2017,52033
14,2018,44571
14,2019,55441
14,2020,40608
14,2021,39170
14,2022,64992
14,2023,41952
14,2024,52901
15,2012,23613
15,2013,31772
15,2014,42662
15,2015,41632
15,2016,43695
15,2017,41470
15,2018,44661
15,2019,53790
15,2020,30059
15,2021,40596
15,2022,53619
15,2023,44704
15,2024,54588
16,2012,27186
16,2013,32915
16,2014,34279
16,2015,43817
16,2016,43003
16,2017,40517
16,2018,45968
16,2019,42625
16,2020,26093
16,2021,43756
16,2022,57874
16,2023,49290
16,2024,56026
17,2012,28204
17,2013,33394
17,2014,32623
17,2015,43264
17,2016,42553
17,2017,42686
17,2018,46135
17,2019,41914
17,2020,20557
17,2021,43343
17,2022,64266
17,2023,49851
17,2024,57082
18,2012,24256
18,2013,30431
18,2014,32150
18,2015,39430
18,2016,44802
18,2017,40005
18,2018,39971
18,2019,40216
18,2020,15709
18,2021,40103
18,2022,72737
18,2023,44815
18,2024,52547
19,2012,26622
19,2013,33639
19,2014,37230
19,2015,41915
19,2016,43305
19,2017,44862
19,2018,42980
19,2019,45451
19,2020,15783
19,2021,36226
19,2022,74878
19,2023,48396
19,2024,59458
2,2012,33126
2,2013,44738
2,2014,60389
2,2015,60532
2,2016,56011
2,2017,81855
2,2018,93442
2,2019,80855
2,2020,57778
2,2021,49852
2,2022,231833
2,2023,67920
2,2024,85245
20,2012,25442
20,2013,32085
20,2014,36927
20,2015,38501
20,2016,39356
20,2017,42863
20,2018,44356
20,2019,46113
20,2020,15405
20,2021,34908
20,2022,68373
20,2023,51415
20,2024,56430
21,2012,25990
21,2013,30543
21,2014,39523
21,2015,38986
21,2016,42784
21,2017,40464
21,2018,40375
21,2019,46298
21,2020,14127
21,2021,33869
21,2022,60969
21,2023,52927
21,2024,50128
22,2012,22827
22,2013,32603
22,2014,39562
22,2015,38550
22,2016,40333
22,2017,39664
22,2018,38780
22,2019,45069
22,2020,13095
22,2021,33373
22,2022,61437
22,2023,50157
22,2024,50241
23,2012,22763
23,2013,33123
23,2014,40294
23,2015,35300
23,2016,37353
23,2017,34642
23,2018,37087
23,2019,44469
23,2020,12400
23,2021,31949
23,2022,57976
23,2023,43426
23,2024,49991
24,2012,21876
24,2013,30387
24,2014,33912
24,2015,33771
24,2016,34933
24,2017,34363
24,2018,35653
24,2019,40033
24,2020,12786
24,2021,30268
24,2022,67477
24,2023,41403
24,2024,48839
25,2012,21353
25,2013,28700
25,2014,33600
25,2015,30467
25,2016,30679
25,2017,31504
25,2018,33249
25,2019,39002
25,2020,12161
25,2021,30936
25,2022,75030
25,2023,38366
25,2024,49641
26,2012,19978
26,2013,23893
26,2014,27446
26,2015,27077
26,2016,31430
26,2017,32844
26,2018,31908
26,2019,31287
26,2020,11064
26,2021,61300
26,2022,85612
26,2023,34761
26,2024,45576
27,2012,18977
27,2013,24083
27,2014,27934
27,2015,26470
27,2016,28211
27,2017,31144
27,2018,27638
27,2019,30274
27,2020,13322
27,2021,80194
27,2022,76127
27,2023,33626
27,2024,46807
28,2012,17519
28,2013,22332
28,2014,25949
28,2015,24711
28,2016,28223
28,2017,29602
28,2018,28611
28,2019,28595
28,2020,15820
28,2021,81259
28,2022,61051
28,2023,33531
28,2024,43974
29,2012,16627
29,2013,21546
29,2014,24882
29,2015,23922
29,2016,27634
29,2017,29217
29,2018,27906
29,2019,28020
29,2020,21568
29,2021,66188
29,2022,45904
29,2023,35576
29,2024,42187
3,2012,35957
3,2013,50491
3,2014,71258
3,2015,68020
3,2016,57748
3,2017,73395
3,2018,89434
3,2019,89301
3,2020,68714
3,2021,48731
3,2022,241387
3,2023,62797
3,2024,74615
30,2012,16301
30,2013,20831
30,2014,24026
30,2015,24011
30,2016,25633
30,2017,28296
30,2018,27262
30,2019,26144
30,2020,29701
30,2021,49513
30,2022,38928
30,2023,38092
30,2024,40169
31,2012,14685
31,2013,20513
31,2014,23273
31,2015,24109
31,2016,24829
31,2017,27185
31,2018,26275
31,2019,26759
31,2020,32387
31,2021,37260
31,2022,34737
31,2023,38505
31,2024,36603
32,2012,14447
32,2013,19287
32,2014,21244
32,2015,23120
32,2016,24022
32,2017,27531
32,2018,25888
32,2019,23794
32,2020,32939
32,2021,30735
32,2022,31765
32,2023,38009
32,2024,33604
33,2012,12335
33,2013,17157
33,2014,18969
33,2015,22240
33,2016,20965
33,2017,24486
33,2018,24413
33,2019,22149
33,2020,33847
33,2021,27264
33,2022,30243
33,2023,33568
33,2024,29733
34,2012,13869
34,2013,19776
34,2014,22168
34,2015,23350
34,2016,23732
34,2017,26345
34,2018,28114
34,2019,24059
34,2020,36604
34,2021,24795
34,2022,32040
34,2023,35812
34,2024,32887
35,2012,15335
35,2013,20699
35,2014,21865
35,2015,23056
35,2016,24116
35,2017,26218
35,2018,27521
35,2019,24598
35,2020,37753
35,2021,23225
35,2022,31660
35,2023,38370
35,2024,33328
36,2012,16768
36,2013,22072
36,2014,23105
36,2015,24090
36,2016,23360
36,2017,27667
36,2018,28388
36,2019,25211
36,2020,36015
36,2021,21971
36,2022,32184
36,2023,38775
36,2024,35225
37,2012,15262
37,2013,21268
37,2014,21422
37,2015,24612
37,2016,27103
37,2017,29922
37,2018,29399
37,2019,24742
37,2020,31815
37,2021,25647
37,2022,40812
37,2023,38809
37,2024,36413
38,2012,23257
38,2013,35720
38,2014,27694
38,2015,34249
38,2016,42258
38,2017,57678
38,2018,43260
38,2019,36294
38,2020,43712
38,2021,38628
38,2022,51622
38,2023,51871
38,2024,52677
39,2012,31323
39,2013,45566
39,2014,41498
39,2015,48555
39,2016,51317
39,2017,58825
39,2018,53661
39,2019,43758
39,2020,62449
39,2021,50560
39,2022,57757
39,2023,56998
39,2024,56786
4,2012,41226
4,2013,61330
4,2014,75395
4,2015,70473
4,2016,64437
4,2017,70351
4,2018,82267
4,2019,92406
4,2020,72489
4,2021,48559
4,2022,178608
4,2023,64544
4,2024,66211
40,2011,36016
40,2012,35961
40,2013,42848
40,2014,51706
40,2015,52430
40,2016,49736
40,2017,49014
40,2018,57736
40,2019,46133
40,2020,67899
40,2021,47950
40,2022,61088
40,2023,55288
40,2024,58567
41,2011,30361
41,2012,28475
41,2013,40150
41,2014,53531
41,2015,52329
41,2016,46095
41,2017,43791
41,2018,48934
41,2019,48204
41,2020,62164
41,2021,45420
41,2022,56224
41,2023,46153
41,2024,56383
42,2011,32156
42,2012,31858
42,2013,42810
42,2014,50624
42,2015,44092
42,2016,52322
42,2017,45787
42,2018,51322
42,2019,45016
42,2020,56181
42,2021,49570
42,2022,60423
42,2023,51751
42,2024,54724
43,2011,31242
43,2012,29202
43,2013,39326
43,2014,47663
43,2015,50293
43,2016,50447
43,2017,47735
43,2018,50912
43,2019,45235
43,2020,71650
43,2021,50944
43,2022,60305
43,2023,55833
43,2024,54051
44,2011,25942
44,2012,28427
44,2013,32904
44,2014,44747
44,2015,48753
44,2016,46543
44,2017,45864
44,2018,46220
44,2019,41565
44,2020,65406
44,2021,50211
44,2022,60128
44,2023,53157
44,2024,46163
45,2011,30924
45,2012,35891
45,2013,41624
45,2014,46826
45,2015,48899
45,2016,55253
45,2017,54155
45,2018,57072
45,2019,51690
45,2020,55382
45,2021,59475
45,2022,75750
45,2023,66590
45,2024,53248
46,2011,30210
46,2012,34880
46,2013,42848
46,2014,50621
46,2015,48083
46,2016,58365
46,2017,58941
46,2018,54099
46,2019,53688
46,2020,42583
46,2021,63069
46,2022,85126
46,2023,69819
46,2024,55504
47,2011,34686
47,2012,36940
47,2013,43807
47,2014,53526
47,2015,50357
47,2016,58703
47,2017,63053
47,2018,54752
47,2019,56015
47,2020,35305
47,2021,67964
47,2022,92177
47,2023,72749
47,2024,60828
48,2011,38460
48,2012,38306
48,2013,48170
48,2014,49804
48,2015,53316
48,2016,61782
48,2017,64750
48,2018,44067
48,2019,57021
48,2020,32569
48,2021,73565
48,2022,97926
48,2023,80353
48,2024,62872
49,2011,27131
49,2012,34348
49,2013,45479
49,2014,51169
49,2015,58485
49,2016,51917
49,2017,52713
49,2018,55003
49,2019,52746
49,2020,30630
49,2021,68796
49,2022,81562
49,2023,65504
49,2024,59079
5,2012,43774
5,2013,68105
5,2014,71417
5,2015,80339
5,2016,66543
5,2017,63899
5,2018,73953
5,2019,92206
5,2020,80657
5,2021,44533
5,2022,111610
5,2023,82395
5,2024,62072
50,2011,37299
50,2012,43002
50,2013,54921
50,2014,50618
50,2015,51083
50,2016,69494
50,2017,74553
50,2018,68486
50,2019,62267
50,2020,29905
50,2021,100705
50,2022,97911
50,2023,87941
51,2011,34959
51,2012,42362
51,2013,55948
51,2014,60089
51,2015,61359
51,2016,74644
51,2017,80550
51,2018,68521
51,2019,61317
51,2020,37997
51,2021,149107
51,2022,88096
51,2023,91984
52,2011,31009
52,2012,32982
52,2013,46392
52,2014,44559
52,2015,53367
52,2016,79271
52,2017,84844
52,2018,56719
52,2019,50245
52,2020,33628
52,2021,196132
52,2022,73634
52,2023,83256
53,2015,58425
53,2020,39569
6,2012,54992
6,2013,62580
6,2014,65995
6,2015,85081
6,2016,72684
6,2017,56651
6,2018,68141
6,2019,85353
6,2020,78096
6,2021,39302
6,2022,75467
6,2023,86470
6,2024,61605
7,2012,63200
7,2013,62578
7,2014,57626
7,2015,92262
7,2016,76802
7,2017,50567
7,2018,72495
7,2019,73076
7,2020,72888
7,2021,39488
7,2022,63703
7,2023,82732
7,2024,64717
