data,regio_sanitaria,diagnostic,casos
2022-12-02,Alt Pirineu i Aran,Impetigen,1
2022-12-02,Barcelona Metropolitana Sud,Escarlatina,16
2022-12-02,Barcelona Metropolitana Sud,Faringoamigdalitis,314
2022-12-02,Barcelona Metropolitana Sud,Faringoamigdalitis estreptocòccica,102
2022-12-02,Barcelona Metropolitana Sud,Grip,98
2022-12-02,Barcelona Metropolitana Sud,Impetigen,24
2022-12-02,Barcelona Metropolitana Sud,Pneumònia,45
2022-12-02,Camp de Tarragona,Altres IRA,650
2022-12-02,Camp de Tarragona,Bronquiolitis,14
2022-12-02,Camp de Tarragona,COVID-19,88
2022-12-02,Camp de Tarragona,Escarlatina,4
2022-12-02,Camp de Tarragona,Faringoamigdalitis,162
2022-12-02,Camp de Tarragona,Faringoamigdalitis estreptocòccica,51
2022-12-02,Camp de Tarragona,Grip,105
2022-12-02,Camp de Tarragona,Impetigen,22
2022-12-02,Camp de Tarragona,Pneumònia,28
2022-12-02,Catalunya Central,Altres IRA,445
2022-12-02,Catalunya Central,Bronquiolitis,10
2022-12-02,Catalunya Central,COVID-19,128
2022-12-02,Catalunya Central,Escarlatina,5
2022-12-02,Catalunya Central,Faringoamigdalitis,135
2022-12-02,Catalunya Central,Faringoamigdalitis estreptocòccica,55
2022-12-02,Catalunya Central,Grip,49
2022-12-02,Catalunya Central,Impetigen,7
2022-12-02,Barcelona Metropolitana Sud,COVID-19,206
2022-12-02,Catalunya Central,Pneumònia,21
2022-12-02,Barcelona Metropolitana Sud,Bronquiolitis,42
2022-12-02,Barcelona Metropolitana Nord,Pneumònia,87
2022-12-02,Barcelona Metropolitana Nord,COVID-19,374
2022-12-02,Barcelona Metropolitana Nord,Bronquiolitis,67
2022-12-02,Barcelona Metropolitana Nord,Altres IRA,2472
2022-12-02,Barcelona Ciutat,Pneumònia,66
2022-12-02,Barcelona Ciutat,Impetigen,34
2022-12-02,Barcelona Ciutat,Grip,125
2022-12-02,Barcelona Ciutat,Faringoamigdalitis estreptocòccica,141
2022-12-02,Barcelona Ciutat,Faringoamigdalitis,382
2022-12-02,Barcelona Ciutat,Escarlatina,17
2022-12-02,Barcelona Ciutat,COVID-19,263
2022-12-02,Barcelona Ciutat,Bronquiolitis,54
2022-12-02,Barcelona Ciutat,Altres IRA,1440
2022-12-02,Alt Pirineu i Aran,Pneumònia,3
2022-12-02,Barcelona Metropolitana Nord,Faringoamigdalitis estreptocòccica,196
2022-12-02,Alt Pirineu i Aran,Grip,7
2022-12-02,Alt Pirineu i Aran,Faringoamigdalitis estreptocòccica,8
2022-12-02,Alt Pirineu i Aran,Faringoamigdalitis,18
2022-12-02,Alt Pirineu i Aran,Escarlatina,1
2022-12-02,Alt Pirineu i Aran,COVID-19,18
2022-12-02,Alt Pirineu i Aran,Bronquiolitis,2
2022-12-02,Alt Pirineu i Aran,Altres IRA,71
2022-12-02,Barcelona Metropolitana Nord,Grip,257
2022-12-02,Barcelona Metropolitana Nord,Impetigen,49
2022-12-02,Barcelona Metropolitana Sud,Altres IRA,1365
2022-12-02,Barcelona Metropolitana Nord,Escarlatina,12
2022-12-02,Girona,Altres IRA,937
2022-12-02,Girona,COVID-19,121
2022-12-02,No disponible,Pneumònia,1
2022-12-02,Penedès,Altres IRA,576
2022-12-02,Penedès,Bronquiolitis,19
2022-12-02,Girona,Bronquiolitis,28
2022-12-02,Penedès,Escarlatina,9
2022-12-02,Penedès,Faringoamigdalitis,168
2022-12-02,Penedès,Faringoamigdalitis estreptocòccica,54
2022-12-02,Penedès,Grip,74
2022-12-02,No disponible,Grip,3
2022-12-02,Penedès,Impetigen,16
2022-12-02,Terres de l'Ebre,Pneumònia,9
2022-12-02,Terres de l'Ebre,Impetigen,8
2022-12-02,Terres de l'Ebre,Grip,10
